oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
ca;8972362;ca;2624243;MEGA Brands Inc
us_ny;402090;us_de;61050;PVH
us_nc;0856919;us_md;60982;Hanesbrands
us_nc;0472730;us_nc;47308;Bank of America
fr;442245510;fr;56567;BNP Paribas
ca;10007552;ca;2611991;New Gold Inc
us_ky;0291231;us_de;126090;Lexmark International, Inc.
us_ca;C3830176;us_ca;42390;JPMorgan Chase & Co.
gb;06270876;gb;428190;Reckitt Benckiser Group plc
us_in;2010080400362;us_de;49659;Mead Johnson Nutrition
ca;4339100;ca;48700;Canadian Pacific Railway
us_ca;C3006676;us_de;61140;Twitter
us_wa;601024674;us_wa;47675;Costco Wholesale
us_pa;159516;us_de;56157;Hershey
th;0107554000267;th;56439;PTT Global Chemical
us_ny;8800;us_nj;56535;Eastman Kodak
us_ok;1900298580;us_ok;49201;Continental Resources
us_ky;0059256;us_de;60952;Brown-Forman Corporation
us_fl;444750;us_fl;49698;Raymond James Financial
us_va;F1499872;us_de;49995;Advance Auto Parts
us_mn;e8b7c896-bad4-e011-a886-001ec94ffe7f;us_de;6673;General Mills Inc.
us_ma;043039129;us_ma;50889;Vertex Pharmaceuticals
us_mi;614517;us_de;9601;Kellogg Co.
us_ca;C2056316;us_ca;859427;LeapFrog Enterprises
us_ca;C1297033;us_de;51310;AECOM
us_oh;26206;us_oh;51301;The Timken Company
us_ca;C0337373;us_de;868483;Cohu Inc.
us_nc;1375263;us_de;858693;Curtiss-Wright Corporation
us_ca;C2045827;us_de;868789;Dexcom, Inc.
us_mi;232099;us_mi;57393;DTE Energy
us_wa;178005030;us_de;61280;Boeing
us_ny;1069599;us_de;47455;Morgan Stanley
us_ny;2177024;us_ny;48143;Consolidated Edison
us_ne;10098589;us_ne;57256;ConAgra Foods
us_id;C197860;us_de;2647238;Boise Cascade Company
us_ca;C1953609;us_ca;863803;Nuance Communications
us_ca;201304610212;us_ca;863918;Smart & Final
us_la;28207600D;us_la;48559;CenturyLink
us_mi;E9152P;us_de;856774;Federal-Mogul Corporation
us_tx;0003176406;us_de;874556;Valhi, Inc.
us_mo;F00456754;us_de;50904;Peabody Energy
us_pa;2996848;us_de;58179;CONSOL Energy
th;0107535000206;th;968831;PTT Exploration and Production Public Company Limited
us_nc;1336978;us_de;56318;Duke Energy
us_ny;1131190;us_nc;8924;PepsiCo Inc.
us_mn;be2c506f-a4d4-e011-a886-001ec94ffe7f;us_de;56019;3M Company
us_ky;0438670;us_nc;13817;Yum! Brands, Inc.
us_ca;C2069963;us_de;48774;VMware
us_ca;C2083071;us_de;61306;NVIDIA
us_ca;C1542295;us_ca;58127;Clorox
us_ny;29389;us_ny;1041256;International Flavors & Fragrances
us_ok;2300630780;us_ok;57481;Devon Energy
us_ca;C3492613;us_de;50841;Workday, Inc.
us_ga;K205705;us_de;49922;Mohawk Industries
us_ca;C1654186;us_de;862080;Lam Research
us_tx;0800007462;us_tx;49230;CenterPoint Energy
us_ca;C1520080;us_de;2270337;Electronic Arts Inc.
us_tn;000124730;us_de;50438;Tractor Supply
us_md;D04444345;us_md;116498;Under Armour
us_oh;2386072;us_de;871304;Mettler-Toledo International Inc.
us_ny;1764293;us_de;49397;New York Community
us_tx;0105369800;us_de;57521;Noble Energy
us_tx;0801590721;us_tx;50926;Concho Resources
us_tx;0801788371;us_de;50827;Cheniere Energy
us_ga;09025152;us_de;863957;Acuity Brands
us_ga;K115206;us_ga;56031;Aflac
fi;1072894-3;fi;968746;Fingrid Oyj
ch;872528;ch;2602249;Sonova
au;050913909;au;2615968;Currie Communications Pty Ltd
ca;3315827;ca;2615926;Eldorado Gold Corporation
se;556607-7581;se;2615992;Intrum Justitia AB
th;0107537000246;th;50003;Charoen Pokphand Foods
fr;317218758;fr;2615825;Ingenico Group
be;0844337488;be;8853;C&A
se;556353-1333;se;2624224;Symsoft AB
be;0440691388;be;2615983;Aquafin NV
ro;1590082;ro;2311708;OMV Petrom
no;987445378;no;2804082;TEMP-TEAM AS
gb;SC120675;gb;50385;Aberdeen Asset Management
za;2005-027663-06;za;2314915;Calgro M3
fr;780152914;fr;2604796;Klepierre
se;556591-9759;se;47861;Teliasonera
za;1925-002833-06;za;49081;Investec
se;556797-0818;se;2618058;Swedavia AB
se;556240-8293;se;2611629;FlexLink AB
mx;2489621;mx;2667165;Vesta
es;96118039;es;2615853;Bolsas y Mercados Espanoles
fr;820978559;fr;2801934;Sagemcom SAS
fr;499128783;fr;2792855;NCI Ingenierie
dk;76490511;dk;2608706;LM Wind Power
ch;661184;ch;1182785;RobecoSAM
dk;62572213;dk;2791833;Nilfisk-Advance
sg;200002722Z;sg;2612166;Hyflux Ltd
es;22150437;es;2796873;Agropal S.L.
fr;410604441;fr;2799523;Mille-Alliance
es;08059610;es;2805177;GDS Cusa
fr;562113530;fr;50838;Gemalto
es;31157514;es;2803578;Pauma S.L.
es;30142095;es;2668003;Aguas de Murcia
fr;672040896;fr;2791830;Julhiet Sterwen
se;556937-5131;se;2791800;Edita Bobergs AB
gb;02283789;gb;2432967;UK Mail Group
es;15389885;es;2668054;Ambical Proyectos
mx;2414518;mx;2791839;Fresnillo PLC
gb;00720944;gb;44144;Ricoh
dk;30548558;dk;2806000;AIAYU APS
dk;62606711;dk;2789423;Kromann Reumert
in;U28997MH1995PLC085294;in;1182786;R R Kabel
dk;18940884;dk;2608797;Henning Larsen Architects
ch;990879;ch;2796587;Ecofact AG
fr;393658760;fr;2789427;Icom Communication
fr;423343789;fr;2791801;Adetel Group
dk;25490762;dk;2799615;Semco Maritime
fr;306796988;fr;2803581;TDV Industries
do;187871;do;2805981;Grupo Puntacana
fr;414489070;fr;2796912;Arteprint
fr;572015246;fr;48545;Bouygues
es;14725683;es;2795828;Grupo Prasa
fr;383589520;fr;2799533;AG2R LA MONDIALE
dk;10179238;dk;2803559;Kontrapunkt Group
fr;803861830;fr;2791836;IME By Estimprim
se;556703-7485;se;2612113;Spotify AB
in;L15202DL1959PLC003786;in;2632990;Nestle India Ltd
nl;34108286;nl;2722933;ALLIANDER
nl;33143036;nl;58447;X5 Retail Group
se;556064-8304;se;2722939;Sectra AB
ch;1209770;ch;2637367;Straumann
no;979238363;no;48495;Seadrill
fr;330076159;fr;2799617;Soft Computing
fr;331981803;fr;2806407;Espuna SAS
es;08001851;es;50062;Acciona
se;556598-6436;se;2796675;4C Strategies
nl;55094503;nl;2803534;Witteveen Bos
se;556564-8457;se;2795791;Unibrands AB
fr;444790828;fr;2791872;KYU Associes
gb;OC307600;gb;2602186;Generation Investment Management LLP
za;1918-000095-06;za;2314921;Barloworld
fr;427080239;fr;2789382;Merico Delta Print
fr;519382584;fr;2796894;Groupe BALAS
es;01003946;es;2799568;Tubacex S.A.
fr;804620037;fr;47758;SEB
se;556667-4205;se;2803575;Perstorp Holding AB
fr;433801578;fr;2802462;Trace One
fr;375580594;fr;2799589;Jean Henaff S.A.
ch;450478;ch;2805990;Wisekey S.A.
fr;410314207;fr;2799576;Plastic Omnium
fr;552016628;fr;58227;Aeroports de Paris
fr;445450174;fr;2432930;Bonduelle
fr;323254128;fr;2792976;ARC International
fr;423300458;fr;2611996;Groupe BPCE
fr;955508817;fr;2789373;Gindre Duchavany
in;L36992MH1948PLC014083;in;2799634;Rallis India Limited
dk;27311032;dk;2796883;Abena Group
es;39000013;es;56431;Banco Santander
se;556542-4370;se;56396;Volvo Group
in;L65191TN1997PLC037415;in;2791832;IDFC Ltd.
hk;F0007763;bm;2679097;Cheung Kong Infrastructure Holdings Ltd
hk;0070153;hk;56462;China Overseas Land & Investment
nl;14099616;nl;2879220;APG Groep N.V.
nl;02089290;nl;968763;GasTerra
us_ca;C2535147;us_de;60924;LinkedIn
ch;372098;ch;56351;Novartis
gb;03944382;gb;2855877;PatientView Limited
ie;70576;ie;2854268;Kingspan Group PLC
us_ga;H853425;us_de;56791;Delta Air Lines
gb;08674686;gb;2873126;Transport Economics Ltd
au;005054893;au;61094;TOM Organic
au;072589345;au;2855890;Enproc Pty Limited
gb;OC359787;gb;2879228;Global Counsel LLP
bm;33024;bm;49961;Axis Capital Holdings
gb;SC086968;gb;2872471;Raeburn Brick Ltd
gb;OC398630;gb;2879229;Voltaire Advisors LLP
us_nh;539133;us_nh;55422;Suki
gb;08064791;gb;51958;Beefayre
fr;552075020;fr;8362;Kering
gb;04085569;gb;2872473;G Plus Ltd
gb;OC303170;gb;2879234;Knowledge & Analysis LLP
es;28599033;es;51361;Indra Sistemas
fi;0109862-8;fi;51051;Kesko Corporation
us_ny;3710931;us_ny;51824;Babo Botanicals
gb;05974964;gb;2872475;Dane Color UK Ltd.
fi;0969819-3;fi;968764;Gasum
se;556013-8298;se;56920;Investor
us_nj;4901801000;us_nj;57401;Ingersoll-Rand
be;0544277787;be;2879243;Latham & Watkins LLP
fr;395030844;fr;61082;Sanofi
gb;07088219;gb;2855908;Mexichem UK Limited
gb;03749035;gb;2872494;Landward Research Ltd
gb;05010832;gb;2872495;EU MAP Consulting Ltd
gb;09631102;gb;2855912;GlobeChange Strategies Limited
gb;10530297;gb;2855915;HAL9000 Limited
ca;8826048;ca;59670;Earth Alive Clean Technologies Inc.
gb;06569512;gb;2872502;ProSunergy (UK) Ltd
nz;1942470;nz;51973;Bella Vi
gb;03887651;gb;2855926;Rightscom Limited
gb;04295495;gb;2873196;Baines Simmons Ltd
us_dc;EXTUID_2911921;us_de;2270350;The Carlyle Group LP
gb;04031230;gb;2855932;TraderServe Limited
fi;0112038-9;fi;37210;Nokia
gb;09721893;gb;54143;MuLondon
ca_qc;1140648032;ca_qc;2604025;Kinross Gold Corporation
gb;04265942;gb;2873231;First in Brussels Ltd
gb;OC306588;gb;2879641;Brunswick Group LLP
gb;04442630;gb;2855939;Marinet Limited
be;0442824497;be;2615837;Beaulieu International Group
gb;03996735;gb;2872532;Peccadillo Pictures Ltd
fi;2302570-2;fi;2878498;Finavia Corporation
gb;03661333;gb;2872546;Rattlerow Farms Ltd
gb;09415619;gb;2872547;ResearchPool Ltd
es;36930097;es;2615969;Torres y Carrera Consultores de Comunicacion
us_ca;C3048066;us_de;56165;Visa
us_nj;0100305627;us_de;48498;Celgene
gb;04710622;gb;2855857;Redburn (Europe) Limited
gb;01316230;gb;2872554;Fitch Ratings Ltd
us_ca;C2370651;us_ca;875128;NetApp, Inc.
fr;632012100;fr;568234;L'Oreal
be;0451105626;fr;48545;Bouygues
ch;608384;ch;2618177;Axpo Holding AG
fr;482534112;gb;2886228;European Gas Limited
gb;07503579;gb;2886145;EEVS Insight Ltd
gb;08943107;gb;2884379;Vehnet Limited
gb;09684900;gb;2884342;Social Finance Ltd
gb;OC304065;gb;2884346;Eversheds LLP
sg;201400635W;sg;2884349;S-Heltering Pte. Ltd.
se;556680-9892;se;2884357;IQ-initiativet AB
gb;05223374;gb;2884358;SEPTENTRION CONSULTING Ltd
gb;00074096;gb;2884360;Salts Healthcare Ltd
gb;03296903;gb;2884362;ADAS UK Limited
se;556792-1712;se;2879231;Fyndiq AB
gb;OC308767;gb;2879242;Wiggin LLP
gb;SC238471;gb;2886218;Modus Vivendi Ltd
gb;05188491;gb;2884352;Balltec Ltd
ch;420939;ch;2884319;STOXX Limited
ch;779370;ch;2884322;Swissgrid AG
se;556625-9213;se;2879259;KCEM AB
ch;723492;ch;2873861;Dufry AG
ch;464885;ch;2873866;furrerhugi. AG
ch;425292;ch;2873665;Landis Gyr AG
gb;02242511;gb;2873182;Eisai Europe Ltd
gb;SC191805;gb;2873175;Mitsubishi Electric Air Conditioning Systems Europe Ltd
gb;09319728;gb;2872505;Chris Davies Ltd
gb;01232146;gb;2872511;Frimstone Ltd
gb;02933889;gb;2872530;Idox Software Ltd
gb;SC221143;gb;2872534;Argentix Ltd
gb;01642534;gb;2872535;Argus Media Ltd
gb;07510565;gb;2872455;Demorais Consulting Ltd
gb;03155567;gb;2872460;NATS Ltd
fi;2403162-9;fi;2872470;High Brace Ltd
gb;07209813;gb;2872472;TransferWise Ltd
gb;06644356;gb;2872485;GAM (UK) Ltd
gb;07651417;gb;2872486;Brevia Ltd
ch;1205080;ch;2869924;High Pulse GmbH
gb;08090039;gb;2855918;Catalys Limited
gb;03142272;gb;2855920;TRL Limited
gb;04696362;gb;2855930;EuroABS Limited
gb;08008729;gb;2855936;Prime Collateralised Securities (PCS) UK Limited
gb;02795233;gb;2855943;Fibercore Limited
gb;02300269;gb;2855945;Pensions & Investment Research Consultants Limited
gb;SC359548;gb;2855871;VERIPOS Limited
gb;01022786;gb;2855875;URENCO Limited
gb;09251079;gb;2855886;Bagehot Limited
gi;86568;gi;2855897;GML Limited
gb;01599409;gb;2789858;Tata International Limited
gb;04267888;gb;2854267;Dods Group PLC
ie;9401;ie;2854270;daa plc
fr;532712825;fr;2806395;SPIE SA
es;58221318;es;2805971;Esteve
fr;343115135;fr;2805982;Groupama
nl;24196394;nl;2806001;Saybolt International
fr;408168003;fr;2805743;Elior Group
no;915383416;no;2805726;GC Rieber
es;97109136;es;2805210;SanLucar Group
fr;402994438;fr;2805182;KLB Group
fr;413611344;fr;2803563;Actuaris
fr;391504693;fr;2803568;Aubay
fr;397775305;fr;2803538;EDOKIAL
se;556558-0031;se;2803540;Sveaskog AB
fr;353786841;fr;2803546;Cite Marine
fr;410914105;fr;2799608;DECAYEUX
es;81619066;es;2799614;Enwesa Operaciones
fr;534077532;fr;2799616;Retis
fr;493258768;fr;2799619;Groupe RG
au;081569413;au;2799626;Futureye
fr;444524706;fr;2799629;Docsourcing
es;65513970;es;2799635;GADISA
nl;34192575;nl;2799560;RAI Amsterdam
fr;823078126;fr;2799574;ISOR
fr;798985941;fr;2799514;ELIS
es;29584315;es;2799535;Ingenieria e Integracion Avanzadas (Ingenia) S.A.
es;84298975;es;2667997;Caja De Ahorros Y Monte De Piedad De Zaragoza Aragon Y Rioja - Ibercaja
be;0422646816;be;2796913;Econocom
ch;1147608;ch;2796871;CPT AG
fr;965504731;fr;2796872;SINTEX NP
no;964976430;no;2796879;Ekornes ASA
fr;400423968;fr;2796902;Lyreco
fr;572058329;fr;2796376;Fleury Michon
fr;390247195;fr;2795807;Acome
es;28581882;es;2795813;Alcampo S.A.
fr;444465736;fr;2795794;Novacap
fr;662049287;fr;2791844;SPIE Nucleaire
es;08664047;es;2791854;Ineco
fr;482761160;fr;2791859;Orsys
dk;16229415;dk;2791862;F.E. Bording
es;42191486;es;2791880;Solarig
dk;40308415;dk;2791783;Georg Jensen
fr;542084322;fr;2791786;Geodis
be;0454157562;be;2791791;Artoos
es;18662114;es;2791794;SATEC
fi;0115411-6;fi;2791796;Saga Furs Oyj
be;0404484654;be;2791799;Ethias
es;48001655;es;2791807;Vocento
fr;315280826;fr;2791810;OTIMA
fr;389488016;fr;2791811;Consort NT
fr;403227796;fr;2791819;Samsic
es;84033422;es;2789437;Grupo Konecta
nl;17159798;nl;2789404;Cinop
fr;793849795;fr;2789421;CGG
fr;428688485;fr;2789430;BETC
fr;432413599;fr;2789387;Coface
fr;857800692;fr;2659589;Armor
es;80937824;es;2668001;Atento
fr;530046275;fr;2661065;GSF
fr;448333575;fr;2762091;Ipsos
es;46140885;es;2659624;GREFUSA
gb;07029206;gb;2725808;Cable & Wireless plc
ch;163667;ch;2722941;Schmolz - Bickenbach
hk;F0021219;hk;2679096;Cheung Kong Property Holdings Ltd
es;63696082;es;2668051;Cuatrecasas
hk;0002970;hk;2660990;Hang Lung Properties
us_ne;1481255;us_ne;2647822;Mutual of Omaha
us_ma;000804945;us_de;2647823;Liberty Mutual Group
us_ca;200718700017;us_de;2647828;Oaktree Capital Management
us_tx;0800546417;us_de;2647829;Dyncorp International
us_md;F06254213;us_md;2647742;Neuralstem Inc
us_ct;0965553;us_de;2647268;FM Global
us_wi;A076088;us_wi;2647234;American Family Insurance
sg;196900092R;sg;2637744;Jardine Cycle and Carriage Limited
ca;10043699;ca;2624235;RESEARCH IN MOTION
hk;0000017;hk;2637586;Wharf Holdings Limited
us_tx;0007210106;us_de;2637522;Waste Management Inc
hk;0030307;hk;2632987;Swire Properties Limited
in;L24200MH1937PLC002700;in;2632996;Colgate-Palmolive India Ltd
be;0676543227;be;2632231;Spire
gb;03087587;gb;2631027;Virgin Money Holdings
au;099092618;au;2631043;Goodman Group
gb;00596137;gb;2631046;Great Portland Estates
hk;1145961;hk;2631054;Brightoil Petroleum
gb;03183415;gb;2631055;St James's Place
hk;F0007719;bm;2631056;Kerry Properties
hk;F0005611;bm;2631067;Goldin Financial Holdings
nl;34251954;nl;2631074;AerCap Holdings
hk;F0015167;hk;2631075;KWG Property Holding
au;001671496;au;2631080;Scentre Group
gb;06585457;gb;2631097;Dixons Carphone
gb;01807982;gb;2631101;Ashtead Group
nl;55383904;nl;2624238;Mud Jeans International BV
in;L24120AP1961PLC000892;in;2624266;Coromandel International Limited
in;L85110KA1988GOI008959;in;2624293;Mangalore Refinery and Petrochemicals Limited
ca_qc;1164884059;ca_qc;2624143;Resolute Forest Products Inc
gb;02280567;gb;2620838;Morrisons
dk;60746214;dk;2618088;Noa Noa ApS
in;U35301KA1963GOI001622;in;2618118;Hindustan Aeronautics Ltd
es;28985992;es;2618131;Seur SA
gb;01030919;gb;2618160;Forster Communications
ro;11952970;ro;2618038;Telekom Romania Mobile Communications SA
fr;376450029;fr;2618041;Biscuiterie de l abbaye
nl;09137597;nl;2618054;Wetlands International
pk;0006241;pk;2618070;Fauji Fertilizer Company Limited
gb;08293976;gb;2617996;Neighbourly Limited
in;L74899DL1974GOI007417;in;2615979;National Fertilizers Limited
bd;C-2252;bd;2615897;Square Pharmaceuticals Ltd
ch;981289;ch;2615898;Allied World Assurance Company Holdings AG
au;165764321;au;2615816;Prydes Confectionery Holdings Pty Ltd
es;82068446;es;2612130;Impulso Industrial Alternativo SA
in;L40101TN1965GOI005389;in;2612140;Chennai Petroleum Corporation Limited
au;004277089;au;2612161;Murray Goulburn Co-Operative Co Limited
fr;399851609;fr;2612042;Bureau Veritas Certification France
gb;03162897;gb;2612068;Dairy Crest Group plc
in;L64200MH1986PLC039266;in;2611978;Tata Communications Limited
in;L24230GJ1993PLC019050;in;2608780;Sun Pharmaceutical Industries Limited
au;007311604;au;2608801;Heather Brae Shortbreads Pty Ltd
ch;764936;ch;2608681;Mediterranean Shipping Company SA
ca;7560303;ca;2608683;GROSCHE International Inc
au;082019387;au;2608704;Fresh Cheese Co (Aust) Pty Ltd
au;064901131;au;2608705;Jurlique International Pty Ltd
au;094640472;au;2608733;Naturally Good Products Pty Ltd
ch;37488;ch;2607123;Compagnie Financiere Richemont SA
in;L85195AP1984PLC004507;in;2605010;Dr Reddy's Laboratories
fi;0242522-1;fi;2604057;OP Financial Group
fi;2553019-8;fi;2603978;Valmet Corporation
hk;F0021154;hk;2602268;CK Hutchison Holdings
se;556228-1484;se;2602232;Husqvarna AB
fr;483385142;fr;2602257;Groupe EUROTUNNEL
in;L32101DL1986GOI023501;in;2602188;Mahanagar Telephone Nigam
th;0107537000246;th;50003;Charoen Pokphand Foods
se;556253-6143;se;2315853;Axis Communications AB
us_ny;2431858;us_de;2274986;Martha Stewart Living Omnimedia Inc.
us_fl;F96000002573;us_de;2274982;Tupperware Brands Corporation
us_ny;1795770;us_de;2274963;Take-Two Interactive Software Inc.
us_va;F1271560;us_de;2274184;ePlus Inc.
us_oh;831795;us_oh;2274188;DDR Corp.
us_va;F1928524;us_de;2274146;Science Applications International Corporation
us_ma;000955519;us_de;2274120;HubSpot Inc.
us_nc;0106674;us_va;2274082;Old Dominion Freight Line Inc.
us_la;35258356F;us_de;2271553;Amedisys Inc.
us_ca;C1945473;us_ca;2271554;DepoMed Inc.
us_ma;000616675;us_de;2271439;Aspen Technology Inc.
us_tx;0007362306;us_de;2271433;Diamond Offshore Drilling Inc.
us_ca;C2934644;us_de;2270399;Cyan Inc.
us_md;F13517941;us_de;2270407;Medifast Inc.
us_ca;C2226465;us_de;2270387;WageWorks Inc.
us_ca;C1508730;us_de;2270389;Exponent Inc.
us_al;938-753;us_nj;2270394;Vulcan Materials Company
us_nc;1234676;us_nj;2270380;Chiquita Brands International Inc.
us_ca;C3809193;us_de;2270367;SJW Corporation
us_ca;C2422106;us_de;2270369;Proofpoint Inc.
us_tn;000576206;us_de;2270333;Brookdale Senior Living Inc.
us_mi;60428M;us_de;2270320;Ally Financial Inc.
us_tx;0801426530;us_de;2266103;Copart Inc.
us_ca;C3438603;us_de;2266117;XOMA Corporation
us_ca;C3633110;us_de;2266052;Live Nation Entertainment Inc.
us_ca;C0914516;us_ca;2265424;McGrath RentCorp
us_ny;3299398;us_de;2265432;Travelzoo Inc.
us_va;F0139529;us_de;2265400;VSE Corporation
us_ca;C2877351;us_ca;2265404;Splunk Inc.
us_la;23410370F;us_de;2265384;Tidewater Inc.
us_va;F1381641;us_va;2264113;NeuStar Inc.
us_mn;79f785a7-add4-e011-a886-001ec94ffe7f;us_de;2264088;The Valspar Corporation
us_fl;F96000002778;us_de;2264077;Ultimate Software Group Inc.
us_va;F0158792;us_nv;2262985;Computer Sciences Corporation
us_tx;0009205106;us_de;2262961;Brinker International Inc.
us_co;20121579244;us_de;2262150;The WhiteWave Foods Company
us_pa;57505;us_de;2262126;Carpenter Technology Corporation
us_dc;EXTUID_2697573;us_de;2241830;Cogent Communications Group Inc.
us_ca;C2004441;us_de;2241813;Exelixis Inc.
us_tx;0800965894;us_de;2241807;Linn Energy
ie;9215;ie;2153192;Aer Lingus
nl;34258824;nl;798624;Tommy Hilfiger Inc.
in;L17110MH1973PLC019786;in;1655671;Reliance Industries Limited
us_tx;0001273506;us_de;1600976;Rowan Companies Inc
us_ca;C3216437;us_de;1368178;Pinterest
ch;1042488;ch;1182749;Glencore Xstrata
gb;02247735;gb;48508;Sky plc
fr;378901946;fr;971902;Worldline
fr;341459386;fr;971887;STMicroelectronics
bd;C-38707;bd;967731;Mutual Trust Bank Ltd.
gb;01281415;gb;47455;Morgan Stanley
us_ny;1967859;us_ny;56214;Swiss Re
nl;62266519;nl;50500;Netflix
au;004028077;au;56699;BHP Billiton
hk;0770009;hk;56525;BOC Hong Kong Holdings
hk;F0004691;bm;56510;Jardine Matheson
us_nv;C27880-1998;us_nv;56062;Deere & Co
ie;553157;ie;49867;Xilinx
sg;196900499K;sg;47566;Aviva
fr;542051180;fr;3898;Total S.A.
us_fl;184062;us_fl;2271521;Ryder System Inc.
au;004189708;au;2618086;Coles Supermarkets Australia Pty Ltd
ch;760991;ch;2615993;Mercuria Energy Trading SA
au;003188930;au;2618144;Australian Ethical Investment
gr;094614958000;gr;2604038;Eurobank Ergasias
mx;2130496;mx;2604027;Gruma
pk;0000378;pk;2618099;Pakistan Petroleum Limited
us_ga;08037942;us_de;2270351;Asbury Automotive Group
in;L24110MH1978GOI020185;in;2612163;Rashtriya Chemicals and Fertilizers Ltd
in;L72900MH1992PLC069662;in;2604013;Hexaware Technologies
ca;4504933;ca;2616006;TransAlta Corporation
au;005482986;au;2612033;Woodside Energy
in;L72200AP1998PLC030081;in;2722943;CIGNITI Technologies
hk;0622909;hk;774110;China Mobile Ltd.
hk;0622909;hk;56693;China Mobile
ca_ns;1000456;ca;47368;Royal Bank of Canada
us_ny;69033;us_de;56676;Pfizer
us_pa;2892596;us_in;56968;Lincoln National
au;002594872;au;48317;Fortescue Metals Group
au;004898962;au;48425;Woodside Petroleum
us_co;20121707974;us_de;57352;Liberty Media
no;986228608;no;57376;Yara International
in;L65990MH1945PLC004558;in;48821;Mahindra & Mahindra
gb;02339826;gb;49096;RSA Insurance Group
in;L27100MH1907PLC000260;in;6639;Tata Steel
us_ca;C1851241;us_de;49476;Intuit Inc.
us_ca;C1512915;us_de;49867;Xilinx
us_nv;C9949-1989;us_de;50041;Caesars Entertainment
gb;02548782;gb;45368;ARM Holdings
us_va;F1404187;us_de;1600975;AES Corp.
us_tx;0002834606;us_de;4427;Tesoro Corporation
gb;06722801;gb;55741;V-Pure
au;005144481;au;2615995;Regal Cream Products Pty Ltd
ca;8484724;ca;2611994;Richardson International Limited
in;L29120MH1986PLC042028;in;2604039;Jain Irrigation Systems Limited
gb;04366849;gb;993;Royal Dutch Shell plc
au;078592337;au;2611993;Massel Australia Pty Limited
es;58865130;es;2618081;Caila & Pares SA
au;000629587;au;2615938;Mccain Foods (AUST) Pty Ltd
gb;SC031780;gb;2612080;Macphie of Glenbervie Ltd
nl;27155167;nl;2612122;Schuttelaar & Partners
us_ca;C0543990;us_de;56108;Mattel
au;005485825;au;2608718;Computershare Limited
ca;3744809;ca;2605027;Catalyst Paper
fi;0828105-4;fi;2602226;Outotec
nz;61262;nz;2620844;Progressive Enterprises Ltd
no;943753709;no;2615919;Kongsberg Gruppen ASA
za;1968-004880-06;za;786522;Gold Fields
se;556610-8055;se;2315855;Lundin Petroleum AB
us_tx;0000776906;us_de;858947;Chicago Bridge & Iron Company
us_ca;C0057827;us_ca;2270373;Southern California Edison
us_ca;C2163312;us_de;863575;Callaway Golf Company
in;U67120WB2004PTC100625;in;5676;Vedanta Resources plc
in;L51909DL1983PLC015418;in;2618114;Moser Baer India Limited
in;U35201DL1990GOI040891;in;2608814;Konkan Railway Corporation Ltd
in;L74899UP1995PLC043677;in;2612143;Jubilant Foodworks Limited
in;L45200TG1993PLC015545;in;2618015;Lanco Infratech Limited
fr;326820065;fr;2624265;Sopra Steria Group
sg;199802208C;sg;917492;StarHub
se;556703-1702;se;2611977;Scandic Hotels Group AB
sg;189000001G;sg;2660542;Keppel Land Limited
es;82785262;es;2799610;Space Cargo Export S.A.
es;82329533;es;2668023;SIGRE Medicamento y Medio Ambiente
mx;1426691;mx;2799583;Tuberias y Valvulas Del Noroeste S.A de C.V.
mx;2633427;mx;2791829;Geo Estratos S.A. de C.V.
ca_qc;1161097184;ca_qc;116234;Mountain Equipment Co-op
gb;05377532;gb;56376;Pearson
us_ar;100067200;us_de;8037;Tyson Foods
us_oh;1657660;us_de;859324;Owens Corning
dk;55772215;dk;2605029;Arla Foods
ch;341238;ch;48011;Glencore International
gb;06210504;gb;2872528;Landmark Public Policy Advisers Europe Ltd
ie;905957;je;49267;Shire
us_ca;C3379704;us_de;2270354;First American Financial Corporation
us_nj;0100850506;us_de;2262128;Vonage Holdings Corporation
us_ca;C2711108;us_de;33817;Facebook Inc.
hk;0054532;hk;47557;Hutchison Whampoa
ca_nb;688547;ca_nb;48128;Rogers Communications
au;004201307;au;58050;Caltex Australia
gb;04905939;gb;2618101;Grant Thornton International Ltd
us_tx;0008495110;us_de;61275;Celanese
us_ca;C1989522;us_de;58111;Ingram Micro
us_ct;0131036;us_de;47804;Cigna
us_ca;C2545815;us_de;2262125;Sciclone Pharmaceuticals Inc
us_ca;C2670966;us_ca;868865;DreamWorks Animation SKG, Inc.
us_ny;301829;us_de;48099;Loews
us_ca;C1180361;us_ca;2262957;Novellus Systems
us_ny;145194;us_ny;2241774;Empire State Building
us_la;34451598F;us_de;48451;Entergy
us_ny;2759075;us_ny;48715;Bunge Limited
us_ny;223833;us_ny;48770;Leucadia National
us_ca;C1642535;us_de;57653;Ross Stores
us_ny;3186446;us_nv;57681;CIT Group
us_ok;1900584812;us_ok;49117;Oneok
us_nv;C250-1987;us_nv;57726;MGM Resorts
us_ga;09065790;us_ga;57806;Rock-Tenn
us_ny;3008353;us_ny;49271;Assurant
us_ny;1705549;us_de;56085;Henry Schein
us_ny;2083290;us_md;58199;Vornado Realty
us_tx;0800619305;us_de;58223;Torchmark
us_ny;2207073;us_de;56129;Paychex
us_co;20151447500;us_in;49939;Ball
us_pa;2766001;us_de;50052;Ametek
us_pa;19286;us_de;56039;Aramark
us_mn;1171439e-a0d4-e011-a886-001ec94ffe7f;us_mn;50106;Fastenal
