"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2005","16544063222.9518","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2005","1653000","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2005","34144092940.6488","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2006","17718480522.4894","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2006","964933","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2006","35744803821.5282","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2007","19098417386.1583","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2007","987660","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2007","38089603944.0436","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2008","18799333871.8541","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2008","1116983","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2008","39714748114.6229","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2009","15273959413.2741","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2009","896407","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2009","34340371448.535","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2010","20369278057.0323","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2010","1003913","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2010","42346141748.972","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2011","21816393405.1676","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2011","944001","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2011","44686786763.9543","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Value-added Contributions to GDP (C2GDP)","Canon","2012","20684315410.3852","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Annual CO2 Emissions","Canon","2012","1066692","http://demo.wikirate.org/Page_000006460"
"Center for Sustainable Organizations+Gross Revenue","Canon","2012","43623342876.9281","http://demo.wikirate.org/Page_000006460"
