3380812,Poverty Footprint+Women in Skilled Positions,Adecco,2017,Unknown
3380854,Poverty Footprint+Women in Unskilled Positions,Adecco,2017,Unknown
3380930,Global Reporting Initiative+Employees Entitled to Parental Leave (G4-LA3-a),Adecco,2017,Unknown
3381161,Global Reporting Initiative+Male Employees Entitled to Parental Leave (G4-LA3-a),Adecco,2017,Unknown
3381177,Global Reporting Initiative+Female Employees Entitled to Parental Leave (G4-LA3-a),Adecco,2017,Unknown
3381184,Global Reporting Initiative+Employees that Took Parental Leave (G4-LA3-b),Adecco,2017,Unknown
3381196,Global Reporting Initiative+Male Employees that Took Parental Leave (G4-LA3-b),Adecco,2017,Unknown
3381208,Global Reporting Initiative+Female Employees that Took Parental Leave (G4-LA3-b),Adecco,2017,Unknown
3325154,Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1) (G4-EN15-a),AngloGold Ashanti,2017,1230000
3325227,Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2) (G4-EN16-a),AngloGold Ashanti,2017,2870000
3325267,Global Reporting Initiative+Direct Economic Value Generated (G4-EC1-a),AngloGold Ashanti,2017,4300000000
3325305,Global Reporting Initiative+Volatile Organic Compounds (VOC) emissions (G4-EN21-a),AngloGold Ashanti,2017,Unknown
3325348,Global Reporting Initiative+NOx emissions (G4-EN21-a),AngloGold Ashanti,2017,4496
3325353,Global Reporting Initiative+Sulfur Oxide (SOx) emissions (G4-EN21-a),AngloGold Ashanti,2017,4052
3325441,Global Reporting Initiative+Total Waste Generated (G4-EN23-a),AngloGold Ashanti,2017,129585
3325456,Global Reporting Initiative+Non-hazardous waste (G4-EN23-a),AngloGold Ashanti,2017,78166
3325486,Global Reporting Initiative+Hazardous Waste Created (G4-EN23-a),AngloGold Ashanti,2017,26622
3325501,Global Reporting Initiative+Total Waste Recycled (G4-EN23-a),AngloGold Ashanti,2017,6271
3325506,Global Reporting Initiative+Non-Hazardous Waste Recycled (G4-EN23-a),AngloGold Ashanti,2017,4845
3325552,Global Reporting Initiative+Hazardous waste recycled (G4-EN23-a),AngloGold Ashanti,2017,1426
3325617,Global Reporting Initiative+Total Waste to Landfill (G4-EN23-a),AngloGold Ashanti,2017,10620
3325642,Global Reporting Initiative+Environmental fines (G4-EN29-a),AngloGold Ashanti,2017,0
