Metric Designer;Metric Title;Question;About;Methodology;Topics;Value Type;Research policy;Metric Type;Report Type;Value options
Corporate Human Rights Benchmark;C.1 Grievance Channels / Mechanisms to Receive Complaints or Concerns from Workers;To what degree does the company provide channels or mechanisms through which workers can report grievances?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company has one or more channel(s) or mechanism(s) (its own, third party or shared) through which workers can raise complaints or concerns, including in relation to human rights issues. The channel(s)/mechanism(s) is available to all workers and takes into account accessibility by marginalised groups. The channel(s)/mechanism(s) is not used to undermine the role of legitimate trade unions in addressing labour-related disputes, nor to preclude access to judicial or other non-judicial grievance mechanisms.

Score 1:
The Company indicates that it has one or more channels/mechanisms, or participates in a shared mechanism, accessible to all workers to raise complaints/concerns, related to the Company OR the Company describes how it ensures the channel(s) / mechanism(s) is/are accessible to all workers, including in local languages.

Score 2:
The Company also discloses data about the practical operation of the channel(s)/mechanism(s), such as the number of grievances about human rights issues filed, addressed or resolved AND an evaluation of the effectiveness of the channel(s) / mechanism(s).

Also:
- for the Agricultural Products Industry, the Company also expects its suppliers to establish a channel(s) / mechanism(s) for workers to raise complaints/concerns related to the supplier or their operations, and to convey the same expectation to their suppliers OR those workers have access to the Company’s own channel(s) / mechanisms to raise complaints/concerns about the Company’s suppliers.
- for the Apparel Industry, the Company also expects its suppliers to establish a channel(s) / mechanism(s) for workers to raise complaints/concerns related to the supplier or their operations, and to convey the same expectation to their suppliers OR those workers have access to the Company’s own channel(s)/mechanisms to raise complaints/concerns about the Company’s suppliers.
- for the Extractives Industry, the Company also expects its extractive business partners to establish a channel(s) / mechanism(s) for workers to raise complaints/concerns related to the extractives business partner or their operations OR those workers have access to the Company’s own channel(s) / mechanisms to raise complaints/concerns about the Company’s extractive business partners or their operations.

Sources: UNGP 22, 29 and 30; UNGPRF C6.1 and C6.3; GRI G4-DMA-b";C. Remedies and Grievance Mechanisms, UNGP 22, UNGP 29, UNGP 30, UNGPRF C6.1, UNGPRF C6.3, GRI G4-DMA-b;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;C.2 Grievance Channels / Mechanisms to Receive Complaints or Concerns from External Individuals and Communities;To what degree does the company provide channels or mechanisms through which external individuals and communities can report grievances?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company has one or more channel(s)/mechanism(s) (its own, third party or shared) through which individuals and communities who may be adversely impacted by the Company can raise complaints/concerns, including in relation to human rights issues.

Note: Due to an error in the design process of the CHRB Pilot Methodology, the score 1 and score 2 criteria were inadvertently omitted. They have been reproduced for the sake of completeness (excluding the industry locks, which were included in the original document).

Score1:

Score 2:

Also:
- for the Agricultural Products Industry, the Company also expects its suppliers to establish a channel(s)/mechanism(s) for complaints/ concerns from external individuals and communities, including about human rights issues related to the supplier or their operations and to convey the same expectation to their suppliers OR those individuals or communities have access to the Company’s own channel(s)/mechanisms to raise complaints/concerns about the Company’s suppliers.
- for the Apparel Industry, the Company also expects its suppliers to establish a channel(s)/mechanism(s) for complaints/ concerns from external individuals and communities, including about human rights issues related to the supplier, for their operations, and to convey the same expectation to their suppliers OR those individuals or communities have access to the Company’s own channel(s)/mechanisms to raise complaints/concerns about the Company’s suppliers.
- for the Extractives Industry, the Company also expects its extractive business partners to establish a channel(s) / mechanism(s) for complaints/concerns from external individuals and communities, including about human rights issues related to the extractives business partner or their operations OR those individuals and communities have access to the Company’s own channel(s)/mechanisms to raise complaints/concerns about the Company’s extractive business partners or their operations.

Sources: UNGP 22, 29 and 30; UNGPRF C6.1 and C6.3; GRI G4-DMA-b";C. Remedies and Grievance Mechanisms, UNGP 22, UNGP 29, UNGP 30, UNGPRF C6.1, UNGPRF C6.3, GRI G4-DMA-b;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;C.3 Users are Involved in the Design and Performance of the Channel(s) / Mechanism(s);To what degree does the company engage users in the design and performance of their grievance channel(s)/mechanism(s)?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company (or the initiative, in the case of a shared channel/mechanism) engages with potential or actual users on the design, implementation and performance of the channel(s)/mechanism(s).

The CHRB Pilot Methodology indicated tentative plans to double or half weight certain indicators. Following the Methodology’s publication, these double and half weightings were confirmed, due to their particular importance within the Measurement Theme in question. The indicator has therefore been double weighted. This means that for this indicator a company can score zero, two or four points.

Score 1:
The Company indicates that it engages with potential and/or actual users on the design, implementation or performance of the channel(s)/mechanism(s) AND describes how it does this.

Score 2:
The Company also provides an example that in one or more instances potential and/or actual users participate in jointly creating or co-appointing the channel(s)/mechanism(s).

Also:
- for the Agricultural Products Industry, the Company also expects its suppliers to consult potential and/or actual users on the design, implementation, or performance of their channel(s)/mechanism(s).
- for the Apparel Industry, the Company also expects its suppliers to consult potential and/or actual users on the design, implementation, or performance of their channel(s)/mechanism(s).
- for the Extractives Industry, the Company also expects its extractive business partners to consult potential and/or actual users on the design, implementation, or performance of their channel(s)/mechanism(s).

Sources: UNGP 31(h); UNGPRF C6.1, C6.2 and C6.3";C. Remedies and Grievance Mechanisms, UNGP 31(h), UNGPRF C6.1, UNGPRF C6.2, UNGPRF C6.3;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;C.4 Procedures Related to the Mechanism(s) / Channel(s) are Publicly Available and Explained;To what degree does the company describe their grievance mechanism process?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company describes how complaints/concerns are received, processed and addressed and how those making complaints are informed throughout the process as well as how these may be escalated.

Score 1:
The Company describes how complaints and concerns for workers and external individuals and communities are received, processed and addressed, including timescales for responses at each stage, who is handling the complaint, as well as how those making complaints are informed, in local languages.

Score 2:
The Company describes how complaints or concerns for workers and all external individuals and communities may be escalated to more senior levels or independent parties.

Sources: UNGP 19 and 31(c); UNGPRF C6.3";C. Remedies and Grievance Mechanisms, UNGP 19, UNGP 31(c), UNGPRF C6.3;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;C.5 Commitment to Non-retaliation over Concerns / Complaints Made;How committed is the Company to prohibiting retaliation against individuals or groups who raise grievances?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company prohibits retaliation for raising complaints/concerns, including in relation to human rights issues.

Score 1:
The Company indicates that it prohibits retaliation against workers and other stakeholders (including those that represent them) for raising human rights related concerns (including those covered by indicator A.1.6.) AND describes how it ensures there is no retaliation.

Score 2:
The Company indicates that it has never brought a retaliatory suit against persons who have brought or tried to bring a case against it involving credible allegation of adverse human rights impacts or against the lawyers representing them (retaliatory civil litigation, including for defamation, filing criminal complaints, or any similar actions against claimants or their lawyers), or fired any workers who have brought or tried to bring a case against it involving an allegation of human rights abuse, or engaged in violent acts or threats or treats against livelihoods, careers or reputation against claimants or their lawyers.

Also:
- for the Agricultural Products Industry, the Company also expects its suppliers to prohibit retaliation against workers and other stakeholders (including those that represent them) for raising human rights related concerns (including those covered by indicator A.1.6).
- for the Apparel Industry, the Company also expects its suppliers to prohibit retaliation against workers and other stakeholders (including those that represent them) for raising human rights related concerns (including those covered by indicator A.1.6).
- for the Extractives Industry, the Company also expects its extractive business partners to prohibit retaliation against workers and other stakeholders (including those that represent them) for raising human rights related concerns (including those covered by indicator A.1.6).

Sources: UNGP 22 and 31; UNGPRF C6.2 and C6.3";Remedies and Grievance Mechanisms, UNGP 22, UNGP 31, UNGPRF C6.2, UNGPRF C6.3;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;C.6 Company Involvement with State-based Judicial and Non-judicial Grievance Mechanisms;How committed is the company to ensuring that state-based grievance mechanisms are available and accessible?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company does not impede access to state-based judicial or non-judicial mechanisms or other mechanisms (such as international mechanisms) for persons who make allegations of adverse human rights impacts and it operates on the presumption that it will not require individuals permanently to waive their legal rights to bring a claim through a judicial process as a condition of participation in a grievance/mediation process. It also does not impede access by competent authorities investigating and adjudicating credible allegations of human rights impacts. It participates in non-judicial grievance mechanisms provided by the state where these are available to resolve grievances.

Score 1:
The Company publicly commits to not impeding access to state-based judicial or non-judicial mechanisms or other available mechanisms for persons who make allegations of adverse human rights impacts AND indicates that it has not required affected individuals or communities participating in grievance/mediation process permanently to waive their legal rights to bring a claim through a judicial process as a condition of participating in the grievance/mediation process.

Score 2:
The Company also sets out the process by which it will co-operate with state-based non-judicial grievance mechanism complaints brought against it AND provides an example of issues resolved (if applicable).

Sources: UNGPRF C6";C. Remedies and Grievance Mechanisms, UNGPRF C6;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;C.7 Remedying Adverse Impacts and Incorporating Lessons Learned;To what degree does the company provide remediation for identified human rights grievances and incorporate lessons learned from these incidents?;"REMEDIES AND GRIEVANCE MECHANISMS

What do the UN Guiding Principles on Business and Human Rights expect?
- Where a company identifies that it has caused or contributed to negative human rights impacts, it should provide for or cooperate in their remediation through legitimate processes.
- Companies should establish or participate in effective operational-level grievance mechanisms for stakeholders who may be negatively impacted by their activities.
- Remediation processes provided by the state or third-party institutions can provide alternative channels for affected stakeholders to raise complaints or concerns. Complainants should be free to choose which available channels they wish to use.

Why is this important?
- Access to effective remedy is a human right in itself and therefore a core part of respecting human rights.
- Unless a company actively engages in the remediation of impacts it has caused or contributed to, it cannot fully meet its responsibility to respect human rights.
- Negative impacts may occur despite a company’s best efforts, given the complexity of activities and business relationships involved. Companies need to be prepared for this situation they can respond quickly and effectively.
- Strong remediation processes can help prevent impacts or conflicts from increasing or escalating.

Note: See also Indicator A.1.5. on policy commitments concerning remedy and Indicator A.1.6 on policy commitments concerning human rights defenders.

Key concepts
Remediation / remedy - Both the process of providing remedy for a negative human rights impact and the substantive outcomes that can counteract, or make good, the negative impact. These outcomes may take a range of forms such as apologies, restitution, rehabilitation, financial or non-financial compensation, and punitive sanctions (whether criminal or administrative, such as fines), as well as the prevention of harm through, for example, injunctions or guarantees of non-repetition.";"The Company provides for or cooperates in remediation where it has identified that it has caused or contributed to adverse human rights impacts (or others have brought such information to the company’s attention, such as through its grievance channel/mechanism). It also incorporates the lessons learned from remediation approaches into its channel(s)/mechanism(s) and processes to prevent future impacts.

The CHRB Pilot Methodology indicated tentative plans to double or half weight certain indicators. Following the Methodology’s publication, these double and half weightings were confirmed, due to their particular importance within the Measurement Theme in question. The indicator has therefore been double weighted. This means that for this indicator a company can score zero, two or four points.

Score 1:
The Company describes the approach it has taken to provide or enable a timely remedy for any salient adverse human rights impacts which it has identified (by category or by example) and which it has caused or contributed to OR if it has not identified any, the approach it would take if adverse impacts related to the key industry risks were to be identified (see Table 5).

Score 2:
The Company also describes changes to systems and procedures or new processes and practices adopted which are designed to prevent similar adverse impacts in the future OR if it has not yet identified any adverse human rights impacts, the approach it would take to incorporate lessons learned from such adverse impacts related to the key industry risks should they arise in the future.

Sources: UNGP 19, 22 and 31; UNGPRF C6, C6.4 and C6.5; GRI, G4-LA16, G4-HR12 and G4-SO2 and G4-SO11";C. Remedies and Grievance Mechanisms, UNGP 19, UNGP 22, UNGP 31, UNGPRF C6, UNGPRF C6.4, UNGPRF C6.5, GRI G4-LA16, GRI G4-HR12, GRI G4-SO2, GRI G4-SO11;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;D.1.1.a Living Wage (Own Agricultural Operations);To what degree does the company pay workers a living wage within its own agricultural operations?;"PERFORMANCE: COMPANY HUMAN RIGHTS PRACTICES

The indicators applied to each industry are mapped in the below tables, split between enabling factors and business processes and key industry risks. These key industry risks have been identified taking into consideration industry research and consultation. See Table 1 for an index of the sources referenced in each indicator.

Enabling Factors and Business Processes
These indicators relate to certain factors and business processes that can help to enable rights-respecting outcomes within company activities.

INSERT relevant TABLE from p.84 from CHRB methodology";"The Company pays all its workers a living wage, which is regularly reviewed and negotiated through collective bargaining with relevant trade unions where they are operating. There are numerous definitions of living wage but the core concept is to provide a decent standard of living for a worker and his or her family based on a regular work week not including overtime hours. A living wage is sufficient to cover food, water, clothing, transport, education, health care and other essential needs for workers and their entitled official dependents and provide some discretionary income. Workers also receive equal pay for equal work.

Score 1:
The Company indicates its target timeframe(s) for paying all workers a living wage AND the Company describes how it determines a living wage for the regions where it operates, which includes involvement of relevant trade unions.

Score 2:
The Company also indicates that it either has met the targets or provides an explanation of why these were not met and its progress toward meeting the targets AND the targets are regularly reviewed and negotiated with relevant trade unions OR the Company demonstrates progress towards achieving a living wage for the regions where it operates, which includes involvement of relevant trade unions.

Sources: ICESCR, Art. 7; HRIB 2.4.1; ETI 5; BSCI V. Fair Remuneration; SA8000 IV.8.1; GLWC ";D.1 Agricultural Products: Enabling Factors & Business Processes, ICESCR Art. 7, HRIB 2.4.1, ETI 5, BSCI V. Fair Remuneration, SA8000 IV.8.1, GLWC;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;D.1.1.b Living Wage (Supply Chain);To what degree does the company ensure that its suppliers pay workers a living wage?;"PERFORMANCE: COMPANY HUMAN RIGHTS PRACTICES

The indicators applied to each industry are mapped in the below tables, split between enabling factors and business processes and key industry risks. These key industry risks have been identified taking into consideration industry research and consultation. See Table 1 for an index of the sources referenced in each indicator.

Enabling Factors and Business Processes
These indicators relate to certain factors and business processes that can help to enable rights-respecting outcomes within company activities.

INSERT relevant TABLE from p.84 from CHRB methodology";"The Company ensures its suppliers pay their workers a living wage, which is regularly reviewed and negotiated through collective bargaining with relevant trade unions where they are oper- ating. There are numerous definitions of living wage but the core concept is to provide a decent standard of living for a worker and his or her family based on a regular work week not including overtime hours. A living wage is sufficient to cover food, water, clothing, transport, education, health care and other essential needs for workers and their entitled official dependents and pro- vide some discretionary income. Workers also receive equal pay for equal work.

Score 1:
The Company includes living wage guidelines in its contractual arrangements with its suppliers or its supplier code of conduct and describes how these practices are taken into consideration in the identification and selection of suppliers OR the Company describes how it works with suppliers to improve their living wage practices.

Score 2:
The Company meets both of the requirements under Score 1 AND provides an analysis of trends in progress made.

Sources: ICESCR, Art. 7; HRIB 8.2.3; ETI 5; FWF 5; BSCI V. Fair Remuneration; SA8000 IV.8.1; GLWC ";D.1 Agricultural Products: Enabling Factors & Business Processes, ICESCR Art. 7, HRIB 8.2.3, ETI 5, FWF 5, BSCI V. Fair Remuneration, SA8000 IV.8.1, GLWC;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;D.1.2 Aligning Purchasing Decisions with Human Rights;To what degree does the company ensure coherence between its purchasing policies and its human rights commitments?;"PERFORMANCE: COMPANY HUMAN RIGHTS PRACTICES

The indicators applied to each industry are mapped in the below tables, split between enabling factors and business processes and key industry risks. These key industry risks have been identified taking into consideration industry research and consultation. See Table 1 for an index of the sources referenced in each indicator.

Enabling Factors and Business Processes
These indicators relate to certain factors and business processes that can help to enable rights-respecting outcomes within company activities.

INSERT relevant TABLE from p.84 from CHRB methodology";"The Company ensures coherence between its purchasing policies and practices and its human rights commitment(s), so that such policies and practices do not undermine its human rights commitments or hinder the ability of its business relationships to meet the Company’s expectations and their own human rights responsibilities.

Note: This can happen, for example, where the price for supplying temporary contract workers is so low that the contract does not allow for adequate payments to workers and a reasonable fee for the agency supplying the workers.

Score 1:
The Company describes the practices it adopts to avoid price or short notice requirements or other business considerations undermining human rights OR it describes the specific positive incentives it provides its business relationships to act with respect for human rights (e.g. price premiums, repeat business, increased orders or longer contracts with good performers).

Score 2:
The Company meets both the requirements under Score 1 AND provides an example of how a particular tension between respect for human rights and other business interests was addressed.

Sources: UNGP 16; HRIB 8.1.1; FLA I.ER.24";D.1 Agricultural Products: Enabling Factors & Business Processes, UNGP 16, HRIB 8.1.1, FLA I.ER.24;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;D.1.3 Mapping and Disclosing the Supply Chain;To what degree does the company map its suppliers and disclose this information publicly?;"PERFORMANCE: COMPANY HUMAN RIGHTS PRACTICES

The indicators applied to each industry are mapped in the below tables, split between enabling factors and business processes and key industry risks. These key industry risks have been identified taking into consideration industry research and consultation. See Table 1 for an index of the sources referenced in each indicator.

Enabling Factors and Business Processes
These indicators relate to certain factors and business processes that can help to enable rights-respecting outcomes within company activities.

INSERT relevant TABLE from p.84 from CHRB methodology";"The Company maps its suppliers and discloses its mapping publicly.

Note: The CHRB indicators are intended to focus on supply chain levels beyond the importer level. However, during the company research and engagement phase it became evident that there is not a universal definition of what constitutes ‘tier one’. As such, for the Apparel industry, the mapping would need to include manufacturing factories. For the Agricultural Products industry, the mapping would need to include land holdings.

Score 1:
The Company indicates that it maps its suppliers beyond tier one, including direct and indirect suppliers, and describes how it goes about this.

Score 2:
The Company also discloses the mapping for the most significant parts of its supply chain and explains how it has defined what are the most significant parts of its supply chain.

Sources: GRI G4-12";D.1 Agricultural Products: Enabling Factors & Business Processes, GRI G4-12;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;D.1.4.a Child Labour: Age Verification and Corrective Actions (Own Agricultural Operations);To what degree does the company conduct age verification of job applicants/workers and have corrective action programmes in place?;"PERFORMANCE: COMPANY HUMAN RIGHTS PRACTICES

The indicators applied to each industry are mapped in the below tables, split between enabling factors and business processes and key industry risks. These key industry risks have been identified taking into consideration industry research and consultation. See Table 1 for an index of the sources referenced in each indicator.

Key Industry Risks
Key industry risks are risks commonly regarded as potentially severe or likely within the industry and that companies are expected to demonstrate, through a process of human rights due dili- gence, how they are preventing them or why they are not relevant.

INSERT relevant TABLES from p.84 and p.85 from CHRB methodology";"The Company verifies the age of job applicants and workers in its own operations. In addition, if the Company learns that it has child labour in its operations, it ensures that the children are enrolled in a remediation/education programme, rather than dismissing them from employment. If children are found to be involved in hazardous work, they are removed immediately from the situation and provided alternative work until they can be enrolled in or are immediately enrolled in a remediation/education programme. The objective is to ensure that children are not pushed into more dangerous survival strategies.

Score 1:
The Company indicates that it does not use child labour AND verifies the age of job applicants and workers in its own operations.

Score 2:
The Company also describes how it develops, participates in or contributes to programmes for transition from employment to education, enabling children to attend and remain in education, if and when child labour is found in its operations and to improve working conditions for young workers where relevant.

Sources: CRC Art. 32; ILO No. 138 & No. 182; CRBP; HRIB 2.3; FLA I.ER.4 V. and CL.3.4; ETI 4.2 and 4.4; FWF 3; BSCI V. No Child Labour and Special Protections for Young Workers; SA8000 IV.1.2; GR G4-HR5";D.1 Agricultural Products: Key Industry Risks, CRC Art. 32, ILO No. 138, ILO No. 182, CRBP, HRIB 2.3, FLA I.ER.4 V, FLA CL.3.4, ETI 4.2, ETI 4.4, FWF 3, BSCI V. No Child Labour and Special Protections for Young Workers, SA8000 IV.1.2, GR G4-HR5;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
Corporate Human Rights Benchmark;D.1.4.b Child Labour: Age Verification and Corrective Actions (Supply Chain);To what degree does the company ensure that its suppliers conduct age verification of job applicants/workers and that it has corrective action programmes in place?;"PERFORMANCE: COMPANY HUMAN RIGHTS PRACTICES

The indicators applied to each industry are mapped in the below tables, split between enabling factors and business processes and key industry risks. These key industry risks have been identified taking into consideration industry research and consultation. See Table 1 for an index of the sources referenced in each indicator.

Key Industry Risks
Key industry risks are risks commonly regarded as potentially severe or likely within the industry and that companies are expected to demonstrate, through a process of human rights due dili- gence, how they are preventing them or why they are not relevant.

INSERT relevant TABLES from p.84 and p.85 from CHRB methodology";"The Company ensures its suppliers verify the age of job applicants and workers. In addition, if the Company learns that it has child labour in its supply chain it ensures that the child/children are enrolled in a remediation/education programme, rather than dismissing them from employment. If children are found to be involved in hazardous work, they are removed immediately from the situation and provided alternative work until they can be enrolled in or are immediately enrolled in a remediation/education programme. The objective is to ensure that children are not pushed into more dangerous survival strategies.

Score 1:
The Company includes child labour guidelines, including not using child labour, verifying the age of job applicants and workers and remediation programmes, in its in its contractual arrangements with its suppliers or supplier code of conduct, and describes how these practices are taken into account positively in the identification and selection of suppliers OR the Company describes how it works with suppliers to eliminate child labour and to improve working conditions for young workers where relevant.

Score 2:
The Company meets both of the requirements under Score 1 AND provides an analysis of trends in progress made.

Sources: CRC, Art. 32; ILO, No. 138 & No. 182; CRBP; HRIB 8.2.7; FLA, I.ER.4, V. and CL.3-.4; ETI, 4.2 and 4.4; FWF, 3; BSCI, V. No Child Labour and Special Protections for Young Workers; SA8000, IV. 1.2 ; GRI G4-HR5 ";D.1 Agricultural Products: Key Industry Risks, CRC Art. 32, ILO No. 138, ILO No. 182, CRBP, HRIB 8.2.7, FLA I.ER.4, V, FLA CL.3-.4, ETI 4.2, ETI 4.4, FWF 3, BSCI V. No Child Labour and Special Protections for Young Workers, SA8000 IV. 1.2, GRI G4-HR5;Category;Designer assessed;Research Metric;;"Score 0; Score 1; Score 2"
